Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Debug 0,Debug 1,Debug 2,Debug 3,App message,
79.42322000000067,1413,,,,0.140625,0.03125,-1.0078125,,3.195745428177171,12.413776231123961,2.287024242518296,2994,2994,28.239172737379906,,66.53239234686261,,,,,-0.7320939489751773,0.87109375,2.2577848281578574,0,0,0,0,,
79.46063500000164,1413,,,,-0.08203125,-0.220703125,-1.009765625,,,12.41331625435034,2.2767450290175137,2995,2994,28.119606353391585,,66.81508744811924,,,,,,0.861328125,2.25754865018889,0,0,0,0,,
79.5232800000012,1413,,,,-0.07421875,-0.076171875,-0.935546875,0.05965182532969408,,12.413721678564693,2.280057676313171,2995,2993,28.15478325826973,18.69893988639556,66.41478897161545,0.17090516615341603,0.11350630544238002,0.33212946357099316,-0.4510007364986685,,0.859375,2.2581056523438847,0,0,0,0,,
79.55211000000126,1413,,,,0.240234375,0.27734375,-0.892578125,,,12.413537840464016,2.2816599956805352,2991,2993,28.175582351065742,,66.35899793417724,,,,,,0.87109375,2.2584186036220446,0,0,0,0,,
79.58321000000089,1413,,,,0.01953125,-0.0078125,-1.091796875,,3.1081660432663467,12.413651690325596,2.280919935171889,2992,2993,28.15831763495343,,66.39324285755202,,,,,-0.7234193507670134,0.8671875,2.2586029594358417,0,0,0,0,,
79.68040500000119,1413,,,,-0.076171875,-0.173828125,-0.892578125,0.06006882070902887,,12.413548494948925,2.287398216969601,2994,2993,28.19830763767386,18.824975155500958,66.75923745987569,0.1651086398569876,0.11022526894889732,0.32949753511138263,-0.4513395465246203,,0.865234375,2.259622312244771,0,0,0,0,,
79.62109999999963,1413,,,,-0.11328125,-0.068359375,-0.97265625,,,12.413181955892666,2.2826291197038002,2994,2993,28.151409378213852,,66.40712021337954,,,,,,0.857421875,2.258957550227093,0,0,0,0,,
79.71986000000126,1413,,,,0.08203125,0.08984375,-1.0078125,,3.1766110502437837,12.413628284918135,2.2844533464197743,2992,2993,28.153980277620303,,66.86574218694305,,,,,-0.730198719399127,0.86328125,2.259851931160261,0,0,0,0,,
79.76777500000037,1413,,,,-0.078125,0.037109375,-0.974609375,,,12.413726104159329,2.284093654682252,2992,2993,28.143254196145946,,66.89179767105803,,,,,,0.85546875,2.26020614242581,0,0,0,0,,
79.80916500000097,1413,,,,0.0625,-0.34375,-0.91015625,0.05964809847623403,,12.413738125303635,2.2815529089273534,2994,2993,28.126040423591164,18.693040966197156,66.46168705111464,0.16993548861247812,0.11294199263040774,0.3321051583242057,-0.4509577793703809,,0.861328125,2.260368189553077,0,0,0,0,,
